"channels","algo","avgGenCount","noSolAvg","noSolStd","unaryHVAvg","unaryHVStd","hitRate"
"8","NSGA2","14580.1963703704","1.38603703703704","0.603007879730654","0.408843209876543","0.151072636862618","0.998888888888889"
"8","SPEA2","9661.01162962963","1.36322222222222","0.580715296372981","0.46821423251405","0.134585465241048","0.999962962962963"
"8","IBEA","6550.61422222222","1.35855555555556","0.582401250821676","0.407475540123457","0.150797953111389","0.998888888888889"
"8","MOGA","5713.38948148148","2.30911111111111","1.0066293585679","0.316716600529101","0.126462299946533","0.999925925925926"
"13","NSGA2","13317.7837037037","1.45455555555556","0.637490626248157","0.384637174211248","0.128900792471937","0.999962962962963"
"13","SPEA2","9058.01240740741","1.39814814814815","0.601857299427927","0.475711296296296","0.108160830748223","0.999962962962963"
"13","IBEA","6263.59159259259","1.40766666666667","0.605780181670513","0.495079074074074","0.105104787585588","0.999296296296296"
"13","MOGA","5886.77774074074","2.24588888888889","0.975087735136308","0.253437240444105","0.108707860498631","0.995"
"18","NSGA2","12575.6927777778","1.37748148148148","0.584524194261307","0.322520994256288","0.16748368170961","0.998814814814815"
"18","SPEA2","8732.68281481481","1.34659259259259","0.56183898383929","0.288393009631616","0.16294854120011","0.994481481481482"
"18","IBEA","6144.11896296296","1.31974074074074","0.561512292706707","0.312460828120346","0.169660809133326","0.988407407407407"
"18","MOGA","6027.35437037037","0.143518518518519","0.437037872027989","0.00759421702404159","0.0365985723159003","0.0738518518518518"
"23","NSGA2","11529.1035185185","1.19877777777778","0.459080014857683","0.258905318852687","0.149616474028997","0.97637037037037"
"23","SPEA2","8195.93440740741","1.107","0.577100352169953","0.186049289891395","0.149602669977049","0.859185185185185"
"23","IBEA","6004.68292592593","0.535259259259259","0.650380406629915","0.133197530864198","0.186078918131014","0.44437037037037"
"23","MOGA","5872.9317037037","0","0","0","0","0"
"25","NSGA2","6055.963","1.25722222222222","0.708861741511759","0.128182428085654","0.114368122708186","0.890962962962963"
"25","SPEA2","5073.45925925926","1.12385185185185","0.740830070898987","0.102812659220067","0.114357029401929","0.795740740740741"
"25","IBEA","4237.52555555556","0.614666666666667","0.769742248902544","0.0629963746815599","0.104443919477314","0.446555555555556"
"25","MOGA","4024.95133333333","7.40740740740741e-05","0.00860647026882884","0","0","0"
"30","NSGA2","5796.39288888889","0.961703703703704","0.779102252357","0.124759700176367","0.125995459106348","0.691074074074074"
"30","SPEA2","4911.86333333333","0.711037037037037","0.769947179083459","0.0722552004058853","0.0999195712788336","0.511814814814815"
"30","IBEA","4159.14696296296","0.169703703703704","0.469382492278466","0.0296328125","0.0911081466677622","0.130259259259259"
"30","MOGA","3953.00688888889","0","0","0","0","0"
"35","NSGA2","5557.42074074074","0.104259259259259","0.360947337297874","0.00836664094650206","0.0415277409870932","0.069037037037037"
"35","SPEA2","4750.34425925926","0.0334444444444444","0.21036510766735","0.00233433096396059","0.0217492559868059","0.0215185185185185"
"35","IBEA","4042.52144444444","0.000703703703703704","0.0265185699185531","0.000110185185185185","0.00699104428989311","0.000592592592592593"
"35","MOGA","3847.733","0","0","0","0","0"
