"channels","algo","binHVAvg","binHVStd","%total","addEpsAvg","addEpsStd","%total","entropyAvg","entropyStd","%total"
"8","NSGA2","6.38285877241213","7.44948040524136","53.6333333333333","0.471598410952282","0.460176826537172","53.6333333333333","0.120961948061785","0.179572479957604","99.7481481481481"
"8","SPEA2","12.5708190511141","14.1390772480361","57.1777777777778","0.562485859437751","0.444565367015162","57.1777777777778","0.11912940426884","0.185075296914842","99.0814814814815"
"8","IBEA","7.04036372613621","7.48051070658286","53.6222222222222","0.516598358613068","0.456879957600069","53.6222222222222","0.11565201608589","0.180038250256486","99.6962962962963"
"8","MOGA","12.2084927382151","4.79540873590213","88.3111111111111","0.891237185245764","0.111937070172653","88.3111111111111","0.320003449449471","0.278090110522298","67.9481481481481"
"13","NSGA2","15.7089833976537","15.7088883395843","75.9259259259259","0.696219577414634","0.368155043005395","75.9259259259259","0.162983765126114","0.218740655206803","98.0888888888889"
"13","SPEA2","25.2098710723908","18.4720915367966","81.6555555555556","0.789999070984714","0.311783087773899","81.6555555555556","0.14806309588112","0.219162596093288","97.2037037037037"
"13","IBEA","17.5936995848384","16.153854487261","76.7777777777778","0.749650717173179","0.339409871166673","76.7777777777778","0.152023084682639","0.218139916251777","97.8555555555556"
"13","MOGA","18.8186203272713","11.7357254516501","94.4962962962963","0.90513395524026","0.0976624974022106","94.4962962962963","0.358324446549276","0.248391963305483","78.2444444444445"
"18","NSGA2","17.5712092932114","15.6919678441139","78.9444444444444","0.793670275627492","0.30031724993111","78.9444444444444","0.143737142328183","0.217854758513599","97.3259259259259"
"18","SPEA2","25.3381386063507","16.6505048835933","85.7296296296296","0.862098270488616","0.240578695444289","85.7296296296296","0.133339224252248","0.216893297064083","95.9666666666667"
"18","IBEA","19.6088454497178","16.1728964425821","79.4037037037037","0.832912726059984","0.270554811123201","79.4037037037037","0.129730304594128","0.212812911702426","96.5"
"18","MOGA","37.2431964361158","15.1844723716633","10.8703703703704","0.986470050085179","0.0358016899408135","10.8703703703704","0.0847544333686815","0.190560303820881","10.4777777777778"
"23","NSGA2","29.8088452495563","13.3544809287432","87.6518518518518","0.930169001267641","0.160887923959747","87.6518518518518","0.082674719324409","0.184831957078642","94.6222222222222"
"23","SPEA2","30.5720883662359","13.0180290103125","82.2481481481481","0.949878621695862","0.12394697055909","82.2481481481481","0.0887141266297475","0.191524223253059","84.937037037037"
"23","IBEA","30.4189431659168","13.3820117009925","39.5111111111111","0.938376500656168","0.154853176773061","39.5111111111111","0.0699790858646744","0.172420575642093","43.6259259259259"
"23","MOGA","NaN",NA,"0","NaN",NA,"0","NaN",NA,"0"
"25","NSGA2","30.3433751737312","19.2986598550306","82.537037037037","0.883604248642585","0.197614863877509","82.537037037037","0.154719694032922","0.229636729226831","86.4"
"25","SPEA2","33.0669604825369","18.2439215613602","77.2","0.920996601899827","0.153134502461629","77.2","0.14216931762017","0.225421761385883","78.5925925925926"
"25","IBEA","29.821585973798","19.0173299433993","41.9814814814815","0.905460864049405","0.179207108584096","41.9814814814815","0.135980827311031","0.221514435859635","43.9518518518519"
"25","MOGA","83.99545","1.40777889066429","0.00740740740740741","1","0","0.00740740740740741","0","0","0.00740740740740741"
"30","NSGA2","40.7081504108776","20.360846440067","65.5444444444445","0.91106680233938","0.168949440002968","65.5444444444445","0.137669198605578","0.223310722949535","66.9333333333333"
"30","SPEA2","42.3090254203659","19.8394874515696","50.8111111111111","0.94343109235367","0.128137181853092","50.8111111111111","0.120775025662421","0.21502198145254","50.6"
"30","IBEA","41.6907859131222","20.0346630967355","12.2777777777778","0.943658892006033","0.131554172413065","12.2777777777778","0.104086773066822","0.203185632987033","12.6925925925926"
"30","MOGA","NaN",NA,"0","NaN",NA,"0","NaN",NA,"0"
"35","NSGA2","46.2685733919844","21.0967269631148","7.57777777777778","0.924469292766373","0.198063110750175","7.57777777777778","0.073245015920398","0.173113937853695","8.18888888888889"
"35","SPEA2","42.0651419969743","23.1066783245885","2.44814814814815","0.945721850226929","0.154310290284848","2.44814814814815","0.0757660729312763","0.178015285017621","2.64074074074074"
"35","IBEA","57.644","14.5929649632508","0.0592592592592593","0.9895833125","0.04166675","0.0592592592592593","0","0","0.0703703703703704"
"35","MOGA","NaN",NA,"0","NaN",NA,"0","NaN",NA,"0"
